PP.1,PP.2,PP.3,PP.5,PP.6,PP.7,PP1.5,PP1.6,PP1.7,PP1.8,PP1.9,PP2.0,PP100,PP150,PP200,PP250,PP300,PP350,PP750,PP800,PP850,PP900,PP950,PP1000,PP0.15,PP0.145,PP0.14,PP0.135,PP0.13,PP0.12,PP0.075,PP0.07,PP0.065,PP0.06,PP0.055,PP0.05,PP.8,PP.9,PP1.0,PP1.1,PP1.2,PP1.3,PP1.4,PP400,PP450,PP500,PP550,PP600,PP650,PP700,PP0.115,PP0.11,PP0.095,PP0.09,PP0.085,PP0.08,Fault Class
0.881250979,0.884772064,0.883816893,0.882832609,0.882453291,0.881927409,0.880654255,0.881000848,0.881369797,0.880810306,0.881285257,0.881152793,0.881451632,0.88146847,0.881457072,0.881445904,0.881553151,0.881556361,0.881453392,0.881391281,0.881378313,0.881352167,0.881329407,0.881250979,0.862398113,0.869550665,0.878450272,0.889593175,0.904573952,0.87860179,0.889224345,0.890844187,0.892839961,0.895224008,0.898054362,0.901274854,0.881458235,0.881051169,0.880685219,0.880350006,0.879984332,0.880080117,0.880375708,0.881609883,0.881598842,0.881603197,0.881545455,0.88159426,0.881471031,0.881445397,0.879613378,0.880732321,0.882345975,0.883584031,0.885454615,0.888063442,-1
0.887522206,0.89198056,0.891686586,0.891016347,0.890715814,0.890267497,0.889228563,0.88959597,0.889978282,0.889432693,0.889919288,0.889801441,0.887742901,0.887754302,0.887741258,0.887725115,0.887828173,0.887827544,0.887721376,0.887661519,0.88764581,0.88762004,0.887599092,0.887522206,0.861532937,0.868672115,0.877562962,0.888712637,0.903710687,0.886007985,0.893872301,0.895164172,0.896816052,0.898851495,0.901335755,0.904217806,0.88985344,0.889489373,0.889156835,0.888848047,0.888500869,0.88860733,0.888930055,0.887880443,0.887866502,0.887871832,0.887814808,0.887860854,0.887739977,0.887714859,0.886732541,0.887548748,0.888288161,0.889181644,0.890716337,0.893007304,-1
0.893591534,0.899078069,0.899487045,0.898988822,0.898769335,0.898398286,0.897594269,0.897982382,0.898379272,0.897846931,0.898347322,0.898244933,0.893836254,0.89384243,0.893827344,0.893806057,0.893904652,0.893899817,0.893788384,0.893730523,0.893711937,0.893686445,0.893667047,0.893591534,0.860740253,0.867865164,0.876746678,0.887903146,0.902920216,0.893189403,0.89838407,0.899361643,0.900683225,0.902384988,0.904539579,0.907100648,0.898039262,0.897718051,0.89741882,0.897136393,0.896808096,0.896926618,0.89727595,0.893951448,0.893934269,0.893940037,0.893883555,0.893927009,0.893808192,0.893783311,0.893630463,0.894148296,0.894035355,0.894592529,0.895802532,0.897798358,-1
0.899406176,0.905908358,0.90701151,0.906683187,0.906544244,0.906249436,0.905678708,0.906087197,0.906499724,0.905979821,0.906496003,0.906409734,0.899678569,0.899679858,0.899662377,0.899635816,0.899729737,0.899720366,0.899601662,0.899545522,0.899523936,0.899498624,0.899480504,0.899406176,0.86001606,0.867126071,0.875997961,0.887161517,0.902199676,0.900083023,0.902721159,0.903400866,0.904408638,0.905794615,0.90763893,0.909899375,0.905944837,0.905665925,0.905399566,0.905143172,0.90483395,0.904965795,0.905340933,0.89977012,0.899749387,0.899755063,0.89969894,0.899739987,0.899622913,0.89959799,0.900247193,0.90047336,0.899537791,0.899770009,0.900669634,0.902395679,-1
0.904916904,0.912414277,0.914197077,0.914034707,0.913974959,0.913754653,0.913413293,0.913841622,0.914270672,0.913762255,0.91429605,0.914226382,0.905220255,0.905217102,0.905196918,0.905164999,0.905254093,0.905239899,0.905111999,0.905057296,0.905032605,0.905007371,0.904990247,0.904916904,0.859356067,0.866450794,0.875313029,0.886484225,0.901545829,0.906629795,0.906847647,0.907248521,0.907961738,0.909052633,0.910608824,0.912591668,0.913503359,0.913265782,0.913031541,0.912800594,0.912510446,0.91265674,0.91305662,0.905287213,0.905262629,0.9052677,0.905211749,0.905250589,0.905134919,0.905109678,0.906526243,0.906470127,0.90474913,0.904670685,0.905277172,0.906761134,-1
0.910078417,0.918542697,0.920984972,0.920983185,0.921000458,0.920852231,0.920734094,0.92118152,0.921627804,0.921129791,0.921682826,0.921630057,0.91041563,0.910408567,0.91038542,0.910348101,0.910432275,0.910413015,0.910274103,0.910220544,0.910192658,0.9101674,0.910150988,0.910078417,0.858755748,0.865835047,0.874687844,0.885867458,0.900955113,0.912775118,0.910730441,0.910873926,0.911314465,0.912133607,0.913426351,0.915157015,0.920652626,0.92045503,0.920251844,0.920045508,0.919774241,0.91993596,0.92035927,0.910457379,0.910428674,0.910432645,0.910376674,0.910413524,0.910298903,0.910273073,0.912415461,0.912088997,0.909626799,0.909254747,0.909588052,0.910859648,-1
0.914849666,0.924245138,0.927321353,0.927473435,0.927564763,0.927485538,0.927582335,0.928047925,0.928511971,0.928023162,0.928596861,0.928561104,0.915223259,0.915212878,0.91518655,0.915143837,0.915223058,0.915198536,0.915046922,0.914994206,0.914963056,0.914937674,0.914921686,0.914849666,0.858210403,0.865274352,0.874118156,0.885307177,0.900423701,0.918469259,0.914339492,0.91424924,0.91444142,0.915014547,0.916070782,0.917576803,0.927335531,0.92717619,0.9270027,0.9268199,0.926567132,0.926745093,0.927190291,0.915239496,0.915206425,0.915208824,0.915152644,0.915187734,0.915073796,0.915047114,0.91786743,0.917284954,0.914132293,0.913486254,0.913568809,0.91465944,-1
0.91919413,0.929478122,0.933157716,0.933455688,0.933617361,0.933603449,0.933904858,0.934387495,0.934869646,0.934388739,0.934984305,0.934965491,0.919606235,0.91959316,0.919563478,0.919515419,0.919589711,0.919559781,0.91939392,0.919341746,0.919307283,0.919281679,0.919265827,0.91919413,0.857715205,0.86476409,0.873599556,0.884799159,0.899947546,0.923667712,0.917647987,0.917349623,0.917319996,0.917675008,0.918523649,0.919834374,0.933500502,0.933377336,0.933231905,0.93307134,0.932836506,0.933031361,0.933496692,0.919596944,0.91955929,0.919559676,0.919503102,0.91953667,0.919423044,0.919395259,0.922839798,0.922017877,0.918231426,0.917333361,0.917189819,0.918132224,-1
0.923080051,0.934203465,0.938451237,0.938885955,0.939113565,0.939160709,0.939654499,0.940152901,0.940653314,0.940178917,0.940797327,0.94079521,0.923532414,0.923517278,0.923484108,0.923430793,0.923500237,0.923464801,0.923283312,0.923231379,0.923193576,0.923167654,0.923151656,0.923080051,0.85726524,0.864299539,0.873127511,0.884339031,0.899522407,0.928331485,0.920632502,0.920153375,0.919930473,0.92009715,0.920768786,0.921915054,0.939101867,0.93901247,0.938893203,0.938753363,0.93853572,0.938747951,0.939231468,0.923497837,0.923455416,0.923453379,0.92339623,0.923428528,0.923314839,0.923285713,0.927295548,0.926252795,0.921894539,0.920768506,0.920425461,0.92125337,-1
0.926480608,0.938388519,0.943165054,0.943726315,0.94401482,0.944118244,0.944790419,0.945303154,0.9458218,0.945352447,0.945994443,0.946008603,0.926974602,0.926958019,0.926921266,0.926862826,0.926927553,0.926886564,0.926688241,0.926636252,0.926595105,0.926568775,0.926552354,0.926480608,0.856855552,0.863875918,0.872697405,0.883922312,0.899143904,0.93242735,0.923273117,0.922642029,0.922256081,0.922265781,0.922792346,0.92380616,0.94410017,0.944041838,0.943946602,0.943825783,0.943624424,0.943854335,0.944353925,0.926915205,0.926867868,0.926863033,0.926805139,0.926836422,0.926722301,0.926691614,0.93120322,0.92996009,0.925096669,0.92376856,0.923254252,0.924002029,-1
